user_name,tweet_id,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,word
ً,1.63937E+18,,,2022-09-17 22:14:07+00:00,2054,322,506,FALSE,2023-03-24 20:59:44+00:00,"Patton famously said ""we defeated the wrong enemy,"" shortly before he ""mysteriously"" died in a car accident.

Churc… https://t.co/ppiSfzOzO1",,Twitter Web App,FALSE,D33
Macaroni…,1.63936E+18,,Mac/Macaroni || they/them/theirs || Just a silly little guy || banner made my sr pelo on his spooky month doodle stream,2022-08-31 23:54:44+00:00,24,251,3795,FALSE,2023-03-24 19:57:07+00:00,RT @AnxiousSquidler: @cly_d33 Puss in boots subtitles,,Twitter for iPad,FALSE,D33
I.Am.Ber,1.63935E+18,"Laurel, MD",💭OPINIONS ARE OF MY OWN -💡Learning & Development 🏕🔥 🎤🗣 Techsavvy 🖥💻📱Traveler ✈️& Photographer 📷,2019-01-08 16:42:12+00:00,5528,4804,104071,FALSE,2023-03-24 19:45:24+00:00,What a BLAST! @Melissa_D33 @MsMarieDotCom @vanessalozano88 🙏❤️🎉🤩🤗🥳😁😝 &amp; Cathy and Bev! #TeamMagenta… https://t.co/XFiDAdIxRJ,['TeamMagenta'],Twitter for iPhone,FALSE,D33
nicole is the shadow government,1.63935E+18,"Nashville, TN",self-appointed #MetroCouncil whip • @pithinthewind columnist • musings at https://t.co/BTBelf7Cv4 • views are my cats’ & mine only,2019-04-04 18:38:26+00:00,2675,257,11118,FALSE,2023-03-24 19:15:12+00:00,"I *think* these are the pairs who would be up against each other:

@GinnyWelsch (D16) &amp; @SandraForNash (D30)… https://t.co/WIhnj7DnwO",,Twitter Web App,FALSE,D33
I’m Dee Tate,1.63934E+18,,"I’m just here… #Ofendiendo  CR7 💯❤️
..... #FreeTopG",2022-03-23 07:43:12+00:00,191,171,6190,FALSE,2023-03-24 19:06:51+00:00,@instablog9ja Calabar people are freaking out rn 😳,,Twitter for iPhone,FALSE,D33
🤨Richard🤚,1.63934E+18,,"💼C# Developer
🏊‍Swimming lover",2013-08-18 08:37:07+00:00,4,15,0,FALSE,2023-03-24 19:02:02+00:00,"d33 paws. With clumsy alacrity52 the beast did so, while the mas",,Twitter Web App,FALSE,D33
zilly.uzer.O_0☣︎,1.63934E+18,,"NSFW,COMSHIP, ANTI RAREPAIRS/CRACKSHIPS DNI! | rareshiper/crackshiper/multishiper | autistic / tdah (adhd) | esp/eng | it/they/xe/ze/he/no pronoun⚡︎☢︎",2022-06-19 04:10:38+00:00,29,194,2232,FALSE,2023-03-24 18:57:19+00:00,@cly_d33 *argentinian sounds*🔥🎱💞 https://t.co/Ii3OMUqLQV,,Twitter for Android,FALSE,D33
Keishaun,1.63934E+18,USA,"This is not real life, I’m way cooler in person",2012-03-15 21:38:48+00:00,1209,814,24099,FALSE,2023-03-24 18:37:37+00:00,@d33_lovely1 @beyoncegarden 💀 she snapped,,Twitter for iPhone,FALSE,D33
whatstoit,1.63933E+18,,,2021-09-26 02:07:46+00:00,3,11,249,FALSE,2023-03-24 18:23:38+00:00,@cly_d33 Thank you.,,Twitter for Android,FALSE,D33
whatstoit,1.63933E+18,,,2021-09-26 02:07:46+00:00,3,11,249,FALSE,2023-03-24 18:23:22+00:00,@cly_d33 I nearly died yesterday.,,Twitter for Android,FALSE,D33
